<<<<<<< HEAD
label,youtube_id,time_start,time_end,split,is_cc
archery,0zFbEjoGlhc,6,10,test,0
archery,0zFbEjoGlhc,14,24,test,0
archery,AHMNZopmQBQ,71,74,test,0
archery,GZWM9or9AhM,40,44,test,0
archery,N4WKMa_KKYc,23,24,test,0
archery,Nru0Tb3f6lg,14,15,test,0
archery,SHVMWGGAkGQ,104,109,test,0
archery,SdY0GFiME2c,393,395,test,0
archery,Wj4-fNnZqIc,3,7,test,0
archery,aXknIbHLPLM,13,16,test,0
archery,ci9pKRJWueg,48,56,test,0
archery,eu3whHZ63Jo,24,26,test,0
archery,kQIZjktFIWY,165,168,test,0
archery,qOOs5bnc25g,12,15,test,0
archery,raooqfayrIQ,50,51,test,0
archery,rn4TUxN67XY,229,238,test,0
archery,td7OmZ4YTNs,380,384,test,0
archery,x58YK75ijjY,21,30,test,0
archery,zedVxImHkK8,22,23,test,0
bowling,-xdBnY59MyY,108,112,test,0
bowling,0Pxoj58NcqI,27,30,test,0
bowling,5_R9jYis68Y,21,31,test,0
bowling,9ysdRIode6A,105,108,test,0
bowling,DrhqyqLiodc,62,64,test,0
bowling,DrhqyqLiodc,65,66,test,0
bowling,DrhqyqLiodc,66,69,test,0
bowling,GeiX1Af9HtI,83,93,test,0
bowling,HeDQh6MQ8_E,27,30,test,0
bowling,HpycA1NELVM,123,125,test,0
bowling,RY7s2xwD5Pk,2,7,test,0
bowling,TRcCyetKj0o,51,56,test,0
bowling,a9xyg4iz7KM,3,5,test,0
brushing hair,37R1c2TOoCY,100,109,test,0
brushing hair,5CV-aGIS00w,70,75,test,0
brushing hair,5HfC8ROl_Z8,73,75,test,0
brushing hair,5r3Z45QAmxI,205,211,test,0
brushing hair,8FtwAj8XQ7o,206,208,test,0
brushing hair,A2Pvv6y0jOw,3,12,test,0
brushing hair,ABBJ5QGrMlI,98,101,test,0
brushing hair,DuXviwv7VBM,63,70,test,0
brushing hair,EfVGZBDtC1c,85,92,test,0
brushing hair,HXldFQk7lv8,126,129,test,0
brushing hair,JPBjBflm7V4,63,69,test,0
brushing hair,LlXKCeXsdNg,86,89,test,0
brushing hair,MNj1VOYinX0,63,73,test,0
brushing hair,PjUiNabLd04,469,472,test,0
brushing hair,RXUC8ebzAEI,123,133,test,0
brushing hair,UbdK6pKQnSQ,110,113,test,0
brushing hair,ZZheLvdGg38,130,132,test,0
brushing hair,_HDQfm5f36U,83,93,test,0
brushing hair,ktaZ7IRhifs,25,30,test,0
brushing hair,ong17Z8dBVg,101,107,test,0
brushing teeth,1lukUCL5pS4,91,101,test,0
brushing teeth,2OYAboBWNRc,59,69,test,0
brushing teeth,4XlPCuCEfUg,58,60,test,0
brushing teeth,5CV-aGIS00w,144,147,test,0
brushing teeth,8FtwAj8XQ7o,120,125,test,0
brushing teeth,Es0RP4KFhxM,10,13,test,0
brushing teeth,MNj1VOYinX0,44,47,test,0
brushing teeth,SZ44v1ejnac,19,29,test,0
brushing teeth,TBdnqWOtY-o,0,8,test,0
brushing teeth,_HDQfm5f36U,37,42,test,0
brushing teeth,a5SMXR1BUL0,10,20,test,0
brushing teeth,n7ew4qIamfA,47,52,test,0
brushing teeth,x9I8pjBmX28,20,23,test,0
brushing teeth,xyXEdjivNDU,51,55,test,0
brushing teeth,yyTJQN_e1q0,10,17,test,0
canoeing or kayaking,1Ng5ULurhh4,180,190,test,0
canoeing or kayaking,89BVtt8r0hQ,25,30,test,0
canoeing or kayaking,9MKtWBhuexI,11,21,test,0
canoeing or kayaking,CjXn0c_XvDE,59,61,test,0
canoeing or kayaking,DbAA2Xb3dcU,50,60,test,0
canoeing or kayaking,ENzcF7wbvkU,1,6,test,0
canoeing or kayaking,LUmAuEeKS_M,2,5,test,0
canoeing or kayaking,T7mhaaJ70u4,13,16,test,0
canoeing or kayaking,TCIbkyhlPpg,15,25,test,0
canoeing or kayaking,TGK0SkDTDrE,3,6,test,0
canoeing or kayaking,c2Cl52b3A7g,5,15,test,0
canoeing or kayaking,hBEUQlh6PNs,94,96,test,0
canoeing or kayaking,i1fbSuUV5Nc,39,49,test,0
canoeing or kayaking,o5soCfdcNdU,0,10,test,0
catching or throwing baseball,-CM9SDKQRQc,91,93,test,0
catching or throwing baseball,0QAUWDBvbHc,74,75,test,0
catching or throwing baseball,BpsJdEQKIGI,105,108,test,0
catching or throwing baseball,Ej9DeLsFxNs,26,27,test,0
catching or throwing baseball,FaCkfAZOgOM,40,41,test,0
catching or throwing baseball,L4lqtPwU5vY,122,123,test,0
catching or throwing baseball,NAkrjA7GR84,29,31,test,0
catching or throwing baseball,TRcCyetKj0o,107,112,test,0
catching or throwing baseball,YREQPADOWnM,128,130,test,0
catching or throwing baseball,bodvGG0lOFY,76,77,test,0
catching or throwing baseball,bodvGG0lOFY,118,119,test,0
catching or throwing baseball,lpZs8sx51tk,28,31,test,0
catching or throwing baseball,mwRu5ngESZc,26,27,test,0
catching or throwing baseball,tKS0NvaO0h4,82,85,test,0
catching or throwing frisbee,-7MNk_seKxo,0,6,test,0
catching or throwing frisbee,-7MNk_seKxo,30,33,test,0
catching or throwing frisbee,GdKK42PIcB0,6,10,test,0
catching or throwing frisbee,GdKK42PIcB0,81,84,test,0
catching or throwing frisbee,ItllLoYW1Og,28,30,test,0
catching or throwing frisbee,ItllLoYW1Og,74,76,test,0
catching or throwing frisbee,P-gHg3cUU2A,19,21,test,0
catching or throwing frisbee,P-gHg3cUU2A,46,47,test,0
catching or throwing frisbee,P-gHg3cUU2A,60,64,test,0
catching or throwing frisbee,RQkSoH9WTks,23,26,test,0
catching or throwing frisbee,RQkSoH9WTks,29,31,test,0
catching or throwing frisbee,TazunpSKrq0,25,31,test,0
catching or throwing frisbee,TazunpSKrq0,73,76,test,0
catching or throwing frisbee,zS4yOVFTEvM,10,13,test,0
clean and jerk,AhuE6ybVnh0,353,363,test,0
clean and jerk,GKbkRz9TtEs,159,169,test,0
clean and jerk,KHafHqcY0zM,184,187,test,0
clean and jerk,LZKWWQHg6tI,670,678,test,0
clean and jerk,O9m7k8GagTA,263,273,test,0
clean and jerk,PGEtxyw3wog,0,5,test,0
clean and jerk,RWLqaD9v6N8,204,208,test,0
clean and jerk,SdY0GFiME2c,410,415,test,0
clean and jerk,TRcCyetKj0o,202,211,test,0
clean and jerk,pcBXtl667nI,160,170,test,0
clean and jerk,qe5KLw8qee0,287,297,test,0
clean and jerk,rn4TUxN67XY,75,85,test,0
clean and jerk,xxWzjiEEEyo,36,41,test,0
cleaning windows,2L0fVqR_xtU,3,13,test,0
cleaning windows,4pfixAOJK_c,35,45,test,0
cleaning windows,6QV4jL5lrJI,12,16,test,0
cleaning windows,NMe-qhhPUTo,156,166,test,0
